Open,High,Low,Close,Adj Close,Volume,SMA_10,SMA_30,EMA_10,EMA_30,RSI_14,MACD,MACD_Signal,MACD_Histogram,target
81.04750061035156,81.55500030517578,80.8375015258789,81.21749877929688,79.3124771118164,94747600,79.92350006103516,78.64725011189779,80.35060189261655,78.88948621001205,54.342070073292305,1.0441184875501222,0.9800891368199895,0.0640293507301326,1
81.18499755859375,81.49500274658203,80.7125015258789,81.23750305175781,79.33200073242188,80113600,80.30950012207032,78.85225016276041,80.51185664882405,79.04097116754404,62.0736474810336,1.0508081840229977,0.9942329462605912,0.05657523776240647,0
78.83999633789062,79.9375,78.65249633789062,79.75,77.87939453125,152531200,80.56800003051758,79.03200022379558,80.37333725812876,79.08671496318637,51.03198117498627,0.9254131650621105,0.9804689900208952,-0.055055824958784694,1
80.0,81.14250183105469,80.0,80.90499877929688,79.00730895996094,93984000,80.68724975585937,79.23050028483073,80.47000298925023,79.20402359648382,49.41406182091098,0.9087598401214336,0.9661271600410029,-0.057367319919569226,0
80.65750122070312,81.1624984741211,79.55249786376953,80.07499694824219,78.19676971435547,100566000,80.65849914550782,79.41308339436848,80.39818370906696,79.26021542562953,47.22351442285783,0.8191451535439143,0.9367307587415852,-0.11758560519767092,0
79.65499877929688,80.11250305175781,77.625,78.26249694824219,76.42678833007812,129554000,80.35449905395508,79.49524993896485,80.00987702528062,79.19584649160454,53.09546581159175,0.5950123346749905,0.8683870739282662,-0.2733747392532757,0
74.31500244140625,76.04499816894531,72.30750274658203,74.54499816894531,72.79646301269531,222195200,79.8082489013672,79.39983317057292,79.0162626877651,78.8957917611104,42.64044613929294,0.11607632228763975,0.7179249236001409,-0.6018486013125012,0
75.23750305175781,75.63249969482422,71.53250122070312,72.0199966430664,70.3307113647461,230673600,78.97149887084962,79.21441650390625,77.7442143160017,78.4521920760753,28.364506075616262,-0.46190587549095596,0.4819587637819216,-0.9438646392728776,1
71.63249969482422,74.47000122070312,71.625,73.1624984741211,71.4464111328125,198054800,78.29749908447266,79.01183319091797,76.91117507202341,78.11092152111053,30.29556681102791,-0.8183372989029749,0.22189955124494232,-1.0402368501479171,0
70.2750015258789,71.5,68.23999786376953,68.37999725341797,66.7761001586914,320605600,76.95549850463867,78.68549982706706,75.36005183227697,77.48311995545293,20.78012456819991,-1.4697769753200163,-0.1164357540680494,-1.3533412212519669,0
64.31500244140625,69.60250091552734,64.09249877929688,68.33999633789062,66.73702239990234,426510000,75.66774826049804,78.36899973551432,74.0836781060249,76.8932410123844,22.030464874094534,-1.9666055472521293,-0.4864697127048654,-1.480135834547264,1
70.56999969482422,75.36000061035156,69.43000030517578,74.70249938964844,72.95027923583984,341397200,75.01424789428711,78.23208312988281,74.19619106668372,76.75190284317563,39.4094786320316,-1.8258971416769327,-0.7543551984992789,-1.0715419431776538,0
75.9175033569336,76.0,71.44999694824219,72.33000183105469,70.63343811035156,319475600,74.27224807739258,77.9869997660319,73.85688393293299,76.46661890690977,36.820140575677215,-1.8841066332459633,-0.9803054854486158,-0.9038011477973474,1
74.11000061035156,75.8499984741211,73.28250122070312,75.68499755859375,73.90972900390625,219178400,73.75024795532227,77.87174962361654,74.18926822850767,76.41619172314745,39.87079195533325,-1.6406060727827452,-1.1123656029154418,-0.5282404698673033,0
73.87999725341797,74.88749694824219,72.85250091552734,73.2300033569336,71.5123291015625,187572800,73.06574859619141,77.66524963378906,74.01485643367602,76.21063118339173,37.54192507522298,-1.6269729081900692,-1.2152870639703675,-0.4116858442197018,0
70.5,72.70500183105469,70.30750274658203,72.25749969482422,70.5626449584961,226176800,72.4652488708496,77.41358286539713,73.69533702661205,75.95559044219382,36.39805698910043,-1.6753292917892537,-1.3072955095341448,-0.36803378225510897,0
65.9375,69.52249908447266,65.75,66.5425033569336,64.98169708251953,286744800,71.66499938964844,76.97908299763998,72.39482181394324,75.3482945012093,32.26586335458194,-2.150020419377725,-1.475840491502861,-0.6741799278748641,1
69.28500366210938,71.61000061035156,67.34249877929688,71.33499908447266,69.66177368164062,285290000,71.59649963378907,76.78233286539714,72.2021267722213,75.08937221625855,38.29357616992938,-2.115120413788617,-1.603696475960012,-0.5114239378286047,0
69.34750366210938,70.30500030517578,67.96499633789062,68.85749816894531,67.24238586425781,255598800,71.16599960327149,76.43016611735025,71.59401248071657,74.68731582610931,36.80992294260635,-2.261308568895771,-1.735218894547164,-0.526089674348607,0
63.98500061035156,67.5,62.0,62.057498931884766,60.601890563964844,418474000,70.53374977111817,75.795916112264,69.86010092638351,73.87248892970774,32.94569438945521,-2.8925236316210743,-1.9666798419619462,-0.9258437896591281,1
66.22250366210938,69.9800033569336,63.23749923706055,69.49250030517578,67.86250305175781,370732000,70.64900016784668,75.41341616312663,69.79326444980028,73.58990901844761,45.068568126544235,-2.7609965925066007,-2.1255431920708774,-0.6354534004357233,0
60.48749923706055,64.7699966430664,60.0,60.5525016784668,59.132198333740234,322423600,69.23400039672852,74.85258280436197,68.11312576410327,72.7487859642553,40.05291505656977,-3.3396462774677076,-2.3683638091502437,-0.9712824683174639,1
61.877498626708984,64.40249633789062,59.599998474121094,63.21500015258789,61.732242584228516,324056000,68.32250022888184,74.38758277893066,67.22255747110047,72.13370300866387,41.593069510005456,-3.5425526050433263,-2.6032015683288603,-0.939351036714466,0
59.942501068115234,62.5,59.279998779296875,61.66749954223633,60.221031188964844,300233600,66.92075042724609,73.78608271280925,66.21254693857972,71.45846407534597,43.998927771568965,-3.7846011712910865,-2.839481488921306,-0.9451196823697807,0
