Combination,Accuracy,Precision,Recall,F1 Score,Next_Day_Prediction
ATR RSI_14 Bearish_Momentum,0.4473684210526316,0.4247159090909091,0.42113095238095244,0.4217391304347826,0
ATR RSI_14 Bearish_Crossover,0.5263157894736842,0.49855072463768113,0.49851190476190477,0.49816581071166544,0
ATR RSI_14 High_Volatility,0.5657894736842105,0.5302343159486016,0.5297619047619048,0.5298969072164949,0
ATR RSI_14 Volume_Pressure,0.5,0.4786931818181818,0.4776785714285714,0.47681159420289854,0
ATR SMA_10 SMA_30,0.5131578947368421,0.4727891156462585,0.4732142857142857,0.47291471415182756,0
ATR SMA_10 Bullish_Momentum,0.5131578947368421,0.48092443140132063,0.48065476190476186,0.4807017543859649,0
ATR SMA_10 Bearish_Momentum,0.5394736842105263,0.5088041085840058,0.5089285714285714,0.5087719298245613,0
ATR SMA_10 Bearish_Crossover,0.5657894736842105,0.543010752688172,0.5446428571428572,0.5429196282121378,0
ATR SMA_10 High_Volatility,0.5657894736842105,0.5235294117647059,0.5223214285714286,0.5220125786163523,0
ATR SMA_10 Volume_Pressure,0.5394736842105263,0.5088041085840058,0.5089285714285714,0.5087719298245613,0
ATR SMA_30 Bullish_Momentum,0.4605263157894737,0.4340501792114695,0.43154761904761907,0.4321122653544741,0
ATR SMA_30 Bearish_Momentum,0.47368421052631576,0.43452380952380953,0.43452380952380953,0.43452380952380953,0
ATR SMA_30 Bearish_Crossover,0.5,0.46279761904761907,0.46279761904761907,0.46279761904761907,0
ATR SMA_30 High_Volatility,0.4868421052631579,0.43411764705882355,0.4375,0.4351057747284163,0
ATR SMA_30 Volume_Pressure,0.5526315789473685,0.5048076923076923,0.5044642857142857,0.5030769230769231,0
ATR Bullish_Momentum Bearish_Momentum,0.5657894736842105,0.5493305144467935,0.5520833333333333,0.5481895154026302,0
ATR Bullish_Momentum Bearish_Crossover,0.5526315789473685,0.5392156862745098,0.5416666666666667,0.5369175627240144,0
ATR Bullish_Momentum High_Volatility,0.5526315789473685,0.5326704545454546,0.5342261904761905,0.5318840579710145,0
ATR Bullish_Momentum Volume_Pressure,0.5789473684210527,0.5658263305322129,0.5699404761904762,0.5641577060931899,0
